Hans,py,py2
阿,ā,a1
啊,a,a1
呵,kē,a1
腌,yān,a1
吖,ā,a1
锕,ā,a1
啊,a,a2
呵,kē,a2
嗄,shà,a2
啊,a,a3
呵,kē,a3
啊,a,a4
呵,kē,a4
阿,ā,a5
啊,a,a5
呵,kē,a5
哀,āi,ai1
挨,ái,ai1
埃,āi,ai1
唉,ài,ai1
哎,ài,ai1
捱,ái,ai1
锿,āi,ai1
呆,dāi,ai2
挨,ái,ai2
癌,ái,ai2
皑,ái,ai2
捱,ái,ai2
矮,ǎi,ai3
哎,ài,ai3
蔼,ǎi,ai3
霭,ǎi,ai3
嗳,ài,ai3
爱,ài,ai4
碍,ài,ai4
艾,yì,ai4
唉,ài,ai4
哎,ài,ai4
隘,ài,ai4
暧,ài,ai4
嗳,ài,ai4
瑷,ài,ai4
嗌,yì,ai4
嫒,ài,ai4
砹,ài,ai4
安,ān,an1
谙,ān,an1
鞍,ān,an1
氨,ān,an1
庵,ān,an1
桉,ān,an1
鹌,ān,an1
广,guǎng,an1
厂,chǎng,an1
俺,ǎn,an3
铵,ǎn,an3
揞,ǎn,an3
埯,ǎn,an3
案,àn,an4
按,àn,an4
暗,àn,an4
岸,àn,an4
黯,àn,an4
胺,àn,an4
犴,àn,an4
肮,āng,ang1
昂,áng,ang2
盎,àng,ang4
熬,áo,ao1
凹,āo,ao1
熬,áo,ao2
敖,áo,ao2
嚣,xiāo,ao2
嗷,áo,ao2
鏖,áo,ao2
鳌,áo,ao2
翱,áo,ao2
獒,áo,ao2
聱,áo,ao2
螯,áo,ao2
廒,áo,ao2
遨,áo,ao2
袄,ǎo,ao3
拗,nìu,ao3
媪,ǎo,ao3
奥,ào,ao4
澳,ào,ao4
傲,ào,ao4
懊,ào,ao4
坳,ào,ao4
拗,nìu,ao4
骜,ào,ao4
岙,ào,ao4
鏊,ào,ao4
八,bá,ba1
吧,ba,ba1
巴,bā,ba1
叭,bā,ba1
芭,bā,ba1
扒,pá,ba1
疤,bā,ba1
笆,bā,ba1
粑,bā,ba1
岜,bā,ba1
捌,bā,ba1
八,bá,ba2
拔,bá,ba2
跋,bá,ba2
茇,bá,ba2
菝,bá,ba2
魃,bá,ba2
把,bà,ba3
靶,bǎ,ba3
钯,pá,ba3
把,bà,ba4
爸,bà,ba4
罢,ba,ba4
霸,bà,ba4
坝,bà,ba4
耙,pá,ba4
灞,bà,ba4
鲅,bà,ba4
吧,ba,ba5
罢,ba,ba5
掰,bò,bai1
白,bái,bai2
百,bó,bai3
摆,bǎi,bai3
伯,bó,bai3
柏,bò,bai3
佰,bǎi,bai3
捭,bǎi,bai3
败,bài,bai4
拜,bài,bai4
呗,bêi,bai4
稗,bài,bai4
般,bān,ban1
班,bān,ban1
搬,bān,ban1
斑,bān,ban1
颁,bān,ban1
扳,pān,ban1
瘢,bān,ban1
癍,bān,ban1
版,bǎn,ban3
板,bǎn,ban3
阪,bǎn,ban3
坂,bǎn,ban3
钣,bǎn,ban3
舨,bǎn,ban3
办,bàn,ban4
半,bàn,ban4
伴,bàn,ban4
扮,bàn,ban4
瓣,bàn,ban4
拌,bàn,ban4
绊,bàn,ban4
帮,bāng,bang1
邦,bāng,bang1
浜,bāng,bang1
梆,bāng,bang1
膀,páng,bang3
榜,bǎng,bang3
绑,bǎng,bang3
棒,bàng,bang4
膀,páng,bang4
傍,bàng,bang4
磅,páng,bang4
谤,bàng,bang4
镑,bàng,bang4
蚌,bèng,bang4
蒡,bàng,bang4
包,bāo,bao1
胞,bāo,bao1
炮,pào,bao1
剥,bō,bao1
褒,bāo,bao1
苞,bāo,bao1
孢,bāo,bao1
煲,bāo,bao1
龅,bāo,bao1
薄,bò,bao2
雹,báo,bao2
保,bǎo,bao3
宝,bǎo,bao3
饱,bǎo,bao3
堡,pù,bao3
葆,bǎo,bao3
褓,bǎo,bao3
鸨,bǎo,bao3
报,bào,bao4
暴,pù,bao4
抱,bào,bao4
爆,bào,bao4
鲍,bào,bao4
曝,pù,bao4
刨,páo,bao4
瀑,pù,bao4
豹,bào,bao4
趵,bō,bao4
背,bèi,bei1
悲,bēi,bei1
杯,bēi,bei1
碑,bēi,bei1
卑,bēi,bei1
陂,pō,bei1
埤,pí,bei1
萆,bì,bei1
鹎,bēi,bei1
北,běi,bei3
被,bèi,bei4
备,bèi,bei4
背,bèi,bei4
辈,bèi,bei4
倍,bèi,bei4
贝,bèi,bei4
蓓,bèi,bei4
惫,bèi,bei4
悖,bèi,bei4
狈,bèi,bei4
焙,bèi,bei4
邶,bèi,bei4
钡,bèi,bei4
孛,bó,bei4
碚,bèi,bei4
褙,bèi,bei4
鐾,bèi,bei4
鞴,bèi,bei4
臂,bì,bei5
呗,bêi,bei5
奔,bèn,ben1
贲,bì,ben1
